angry,disgust,fear,happy,sad,surprise,neutral,face_position_x,face_position_y,center_closeness
0.631,0.0,0.042,0.0,0.016,0.266,0.044,480.5,371.5,0.7822231800134778
0.082,0.0,0.021,0.002,0.03,0.004,0.86,506.0,374.0,0.8165206048971719
0.078,0.0,0.012,0.003,0.149,0.0,0.758,520.0,388.0,0.8321898769778056
0.147,0.0,0.008,0.0,0.845,0.0,0.0,721.0,276.0,0.8410846762621855
0.027,0.0,0.039,0.008,0.149,0.001,0.776,541.5,408.5,0.8504798724385441
0.169,0.111,0.239,0.029,0.353,0.02,0.08,582.0,423.0,0.8833819162905203
0.021,0.001,0.638,0.038,0.28,0.005,0.017,632.5,423.5,0.912922277971972
0.051,0.0,0.039,0.0,0.088,0.002,0.819,715.0,439.0,0.8516535252934418
0.261,0.001,0.54,0.006,0.135,0.035,0.022,755.5,439.5,0.8090488239574118
0.303,0.001,0.188,0.006,0.264,0.001,0.237,764.5,389.5,0.8257567229860224
0.045,0.0,0.082,0.023,0.035,0.002,0.813,758.5,387.5,0.8343338015239457
0.084,0.0,0.082,0.001,0.595,0.001,0.238,744.0,412.0,0.8416517004314188
0.013,0.0,0.0,0.01,0.02,0.0,0.957,714.5,442.5,0.8486185032219407
0.013,0.0,0.001,0.004,0.01,0.001,0.971,704.0,422.0,0.8786512493355048
0.077,0.0,0.004,0.017,0.137,0.001,0.764,703.0,415.0,0.8861094022789495
0.153,0.0,0.348,0.098,0.21,0.004,0.189,706.5,430.5,0.8680177098023526
0.102,0.0,0.044,0.007,0.2,0.0,0.647,696.5,430.5,0.8769627387504649
0.314,0.0,0.325,0.012,0.302,0.002,0.045,684.0,452.0,0.8611193540197442
0.561,0.0,0.06,0.074,0.237,0.001,0.067,674.5,450.5,0.8681020480335737
0.296,0.0,0.157,0.046,0.131,0.003,0.367,646.0,443.0,0.8866725942668424
0.078,0.0,0.039,0.006,0.064,0.003,0.811,646.0,430.0,0.9043218798751609
0.006,0.0,0.503,0.039,0.404,0.046,0.001,1181.5,655.5,0.1599084010307248
0.132,0.0,0.016,0.043,0.115,0.005,0.689,668.0,420.0,0.9098303609954017
0.005,0.0,0.821,0.002,0.156,0.011,0.005,1200.0,621.0,0.1586085690599488
0.254,0.008,0.064,0.006,0.268,0.001,0.398,686.5,377.5,0.9323384996100823
0.021,0.0,0.01,0.001,0.026,0.0,0.942,675.5,346.5,0.9482770878244765
0.0,0.0,0.855,0.024,0.062,0.045,0.014,806.5,535.5,0.6705522897809942
0.021,0.0,0.774,0.185,0.003,0.002,0.015,525.0,333.0,0.8391302386441306
0.0,0.0,0.958,0.0,0.042,0.0,0.0,478.0,604.0,0.6011422094380152
0.302,0.0,0.11,0.104,0.409,0.0,0.075,571.0,341.0,0.9025358621838915
0.024,0.001,0.654,0.001,0.072,0.018,0.229,471.0,613.0,0.5856568245254732
0.045,0.0,0.213,0.016,0.343,0.0,0.384,562.0,346.0,0.8920792685671699
0.168,0.0,0.06,0.024,0.379,0.001,0.369,568.5,323.5,0.8906749531197407
0.064,0.0,0.118,0.01,0.169,0.002,0.635,582.5,319.5,0.9042201693236426
0.181,0.3,0.066,0.002,0.367,0.002,0.081,619.0,352.0,0.9693965247023032
0.0,0.0,0.005,0.002,0.001,0.0,0.992,1029.0,657.0,0.33349253879217733
0.377,0.007,0.052,0.002,0.486,0.006,0.071,650.0,389.0,0.9582246718559504
0.113,0.001,0.035,0.01,0.207,0.001,0.633,671.5,409.5,0.9200971936852447
0.037,0.001,0.042,0.043,0.162,0.002,0.712,689.0,418.0,0.8965990059107989
0.194,0.005,0.019,0.02,0.24,0.002,0.519,690.5,419.5,0.8937200033615924
0.239,0.615,0.019,0.001,0.076,0.001,0.05,681.5,421.5,0.898962173255585
0.086,0.317,0.055,0.069,0.416,0.001,0.056,680.0,425.0,0.8960623189453089
0.299,0.023,0.047,0.128,0.152,0.001,0.349,697.0,424.0,0.8832865361624909
0.084,0.002,0.02,0.051,0.127,0.009,0.706,698.0,420.0,0.8863539254216746
0.049,0.003,0.026,0.008,0.112,0.002,0.799,703.5,414.5,0.8860402161101837
0.943,0.004,0.011,0.001,0.036,0.0,0.004,699.5,414.5,0.8901165643229072
0.3,0.022,0.457,0.018,0.13,0.038,0.035,695.0,414.0,0.8950325046779529
0.548,0.013,0.21,0.018,0.039,0.114,0.057,706.5,403.5,0.8917832362684863
0.146,0.205,0.162,0.002,0.453,0.006,0.027,712.5,400.5,0.8869060354964878
0.145,0.005,0.015,0.074,0.067,0.004,0.689,713.5,401.5,0.8850517791707497
0.47,0.008,0.061,0.006,0.205,0.002,0.247,720.5,410.5,0.8705860906213987
0.304,0.035,0.075,0.005,0.415,0.003,0.162,720.0,411.0,0.8707976422112962
0.476,0.308,0.037,0.0,0.174,0.001,0.004,709.0,413.0,0.8815123740324822
0.025,0.826,0.069,0.0,0.071,0.0,0.008,700.0,421.0,0.8834773744923636
0.016,0.0,0.334,0.002,0.631,0.009,0.008,708.5,417.5,0.8782050356003348
0.105,0.019,0.15,0.007,0.298,0.003,0.417,710.5,427.5,0.8670795679878718
0.534,0.001,0.035,0.041,0.296,0.0,0.092,710.0,425.0,0.869910724559748
0.0,0.0,0.736,0.051,0.002,0.039,0.172,711.0,429.0,0.8651712813129587
0.257,0.24,0.076,0.014,0.137,0.002,0.274,706.0,421.0,0.8776088262719562
0.239,0.006,0.121,0.312,0.113,0.008,0.201,702.0,420.0,0.882502604359944
0.007,0.001,0.034,0.883,0.022,0.003,0.05,698.5,411.5,0.8938596961802187
0.213,0.004,0.357,0.002,0.287,0.089,0.047,691.5,415.5,0.8968908777172317
0.066,0.006,0.042,0.072,0.458,0.001,0.355,696.5,419.5,0.8882588235946522
0.413,0.024,0.218,0.027,0.222,0.046,0.049,695.5,416.5,0.892143730931169
0.078,0.001,0.574,0.18,0.095,0.013,0.06,694.0,412.0,0.8979076463946079
0.097,0.0,0.193,0.046,0.554,0.065,0.044,681.5,385.5,0.9336672246021009
0.045,0.0,0.17,0.054,0.001,0.73,0.0,683.0,373.0,0.93882335737903
0.0,0.0,0.003,0.0,0.0,0.0,0.996,666.0,361.0,0.9645660643137178
0.0,0.0,0.02,0.0,0.0,0.0,0.98,644.0,331.0,0.9601328243865375
0.009,0.0,0.842,0.004,0.114,0.029,0.001,651.5,318.5,0.9413539890580227
0.008,0.002,0.918,0.001,0.07,0.0,0.001,662.0,325.0,0.9437015951757364
0.013,0.003,0.312,0.005,0.667,0.0,0.001,688.0,331.0,0.9236277855923297
0.007,0.001,0.079,0.0,0.912,0.0,0.001,708.0,340.0,0.9034727633338775
0.008,0.0,0.052,0.0,0.94,0.0,0.0,716.5,345.5,0.8939645865661988
0.02,0.0,0.075,0.0,0.903,0.0,0.0,722.5,350.5,0.8869060354964878
0.017,0.0,0.066,0.001,0.916,0.0,0.0,727.5,350.5,0.8801390209339561
0.067,0.0,0.363,0.0,0.566,0.002,0.002,729.0,344.0,0.8768535045274084
0.404,0.0,0.437,0.001,0.148,0.007,0.003,727.5,331.5,0.8746777151733022
0.414,0.0,0.409,0.001,0.161,0.012,0.002,730.5,330.5,0.8703713074861562
0.573,0.0,0.277,0.0,0.101,0.047,0.001,734.5,329.5,0.8647695394961948
0.044,0.0,0.004,0.612,0.031,0.0,0.308,852.5,572.5,0.5907402916214728
0.628,0.0,0.207,0.0,0.147,0.011,0.005,729.0,331.0,0.8725245121601803
0.363,0.0,0.178,0.003,0.4,0.01,0.047,721.0,333.0,0.8837243375697627
0.318,0.001,0.06,0.0,0.279,0.0,0.342,725.0,336.0,0.8797181228516681
0.053,0.001,0.129,0.007,0.759,0.0,0.052,727.5,338.5,0.8772948033622898
0.272,0.017,0.041,0.036,0.629,0.0,0.005,718.5,347.5,0.8917489660550608
0.143,0.001,0.132,0.0,0.7,0.0,0.023,716.5,348.5,0.8946489195671542
0.267,0.006,0.122,0.043,0.369,0.001,0.191,723.5,346.5,0.8848100201666571
0.288,0.003,0.153,0.001,0.433,0.0,0.121,727.5,350.5,0.8801390209339561
0.12,0.017,0.073,0.057,0.66,0.0,0.074,724.5,362.5,0.8848744395941818
0.227,0.006,0.156,0.006,0.587,0.002,0.017,728.0,354.0,0.879880129109338
0.232,0.022,0.109,0.001,0.629,0.0,0.007,729.5,362.5,0.8780680675850939
0.192,0.006,0.152,0.001,0.632,0.0,0.017,735.0,361.0,0.8706183388446282
0.205,0.002,0.065,0.001,0.663,0.0,0.065,737.5,361.5,0.8672052016945946
0.061,0.0,0.567,0.031,0.215,0.103,0.023,698.5,391.5,0.9095172442941822
0.09,0.0,0.221,0.007,0.525,0.004,0.153,695.0,390.0,0.9146811704802326
0.03,0.0,0.158,0.006,0.676,0.002,0.127,695.0,390.0,0.9146811704802326
0.035,0.0,0.041,0.013,0.264,0.002,0.646,694.5,389.5,0.9156045675360833
0.049,0.0,0.084,0.041,0.338,0.034,0.455,696.0,393.0,0.9114806095107879
0.224,0.0,0.178,0.006,0.493,0.006,0.093,700.5,392.5,0.9064734363889584
0.017,0.0,0.007,0.003,0.11,0.001,0.861,700.5,395.5,0.9044722219465879
0.093,0.0,0.356,0.019,0.023,0.471,0.038,700.5,394.5,0.9051541544327587
0.031,0.0,0.273,0.03,0.014,0.583,0.069,699.0,395.0,0.9065776000783449
0.127,0.001,0.303,0.053,0.038,0.459,0.019,698.5,395.5,0.9068111502320785
0.016,0.0,0.011,0.002,0.093,0.001,0.877,697.5,396.5,0.9072500169963303
0.12,0.0,0.085,0.005,0.288,0.01,0.492,699.0,396.0,0.9058755007185422
0.032,0.0,0.085,0.017,0.004,0.851,0.01,697.0,397.0,0.9074551997173954
0.195,0.0,0.237,0.002,0.419,0.012,0.135,694.5,398.5,0.9091286411592368
0.018,0.0,0.011,0.004,0.117,0.001,0.848,693.5,399.5,0.9094352945382644
0.285,0.0,0.117,0.017,0.113,0.147,0.321,692.0,401.0,0.909820077635728
0.189,0.001,0.063,0.003,0.313,0.003,0.428,696.5,400.5,0.9053303024614133
0.137,0.0,0.129,0.01,0.052,0.346,0.325,694.5,394.5,0.9121588887202551
0.218,0.017,0.32,0.01,0.029,0.397,0.007,669.5,388.5,0.944139786059453
0.23,0.001,0.284,0.009,0.088,0.147,0.241,650.0,392.0,0.9543429114710795
0.215,0.0,0.193,0.002,0.454,0.006,0.129,629.0,385.0,0.9628041513435971
0.307,0.001,0.042,0.004,0.118,0.01,0.518,612.5,384.5,0.9498426067767125
0.039,0.0,0.028,0.003,0.195,0.001,0.734,605.5,394.5,0.9335554826397214
0.279,0.001,0.244,0.006,0.281,0.116,0.074,624.5,400.5,0.9409443128566244
0.405,0.0,0.144,0.001,0.259,0.122,0.07,636.5,400.5,0.9446400368561554
0.102,0.0,0.112,0.001,0.472,0.014,0.299,635.5,403.5,0.940443964495736
0.177,0.001,0.304,0.002,0.403,0.079,0.034,628.5,400.5,0.9426652160719933
0.093,0.0,0.107,0.005,0.417,0.002,0.376,641.0,399.0,0.9468709091294053
0.365,0.0,0.187,0.0,0.3,0.006,0.141,648.0,384.0,0.9655479518725223
0.035,0.0,0.134,0.007,0.668,0.005,0.15,665.0,387.0,0.9498888475842037
0.049,0.0,0.055,0.004,0.53,0.002,0.361,668.5,390.5,0.9431524893607875
0.051,0.0,0.027,0.007,0.238,0.001,0.675,672.0,394.0,0.9364152006668932
0.057,0.0,0.086,0.002,0.2,0.004,0.65,672.5,399.5,0.9303396859956761
0.109,0.0,0.175,0.009,0.323,0.036,0.349,679.0,397.0,0.9267893977291098
0.074,0.0,0.174,0.005,0.319,0.009,0.419,676.0,400.0,0.9267134399681248
0.017,0.0,0.024,0.001,0.438,0.0,0.52,674.0,397.0,0.9315685488866144
0.036,0.0,0.048,0.008,0.08,0.009,0.819,676.0,397.0,0.9296970312262873
0.011,0.0,0.022,0.0,0.208,0.0,0.758,670.0,388.0,0.9441148910657456
0.379,0.0,0.136,0.0,0.369,0.007,0.109,666.5,374.5,0.95886215904478
0.04,0.0,0.084,0.0,0.766,0.002,0.108,670.5,366.5,0.9575312123689802
0.081,0.0,0.132,0.0,0.654,0.0,0.133,673.0,367.0,0.9540594501052819
0.44,0.0,0.224,0.001,0.254,0.013,0.068,664.5,369.5,0.9642145156493905
0.052,0.0,0.002,0.944,0.001,0.0,0.001,674.0,374.0,0.9499258709748626
0.02,0.0,0.031,0.0,0.496,0.0,0.453,680.0,381.0,0.9384757170807816
0.325,0.0,0.059,0.0,0.359,0.001,0.255,688.5,382.5,0.9271894760109445
0.017,0.0,0.009,0.0,0.277,0.0,0.696,696.5,391.5,0.9119058956761736
0.096,0.0,0.023,0.001,0.194,0.002,0.684,693.5,397.5,0.9110260849081846
0.036,0.0,0.017,0.0,0.361,0.0,0.586,692.0,400.0,0.9106568645854796
0.021,0.0,0.102,0.003,0.229,0.004,0.641,692.5,399.5,0.9105272201265718
0.208,0.0,0.092,0.001,0.386,0.001,0.312,688.0,403.0,0.9122380986115753
0.0,0.0,0.019,0.046,0.074,0.002,0.859,639.5,398.5,0.9475648627332964
0.003,0.0,0.035,0.025,0.044,0.0,0.893,583.5,410.5,0.8968009830861353
0.018,0.0,0.019,0.0,0.097,0.0,0.865,517.5,405.5,0.8220391426027098
0.018,0.0,0.013,0.0,0.281,0.0,0.688,505.0,403.0,0.8070512283359987
0.116,0.0,0.005,0.001,0.145,0.003,0.73,504.0,405.0,0.8049148021469466
